818,PPR2-054,مواد سباكة T.D.C.O2,unit,PPR End Cap 50mm - سدة 50 ملي
819,PPR2-055,مواد سباكة T.D.C.O2,unit,سدة سن خارجي -اختبار(0.5بوصة)/سدة
820,PPR2-056,مواد سباكة T.D.C.O2,unit,PPR End Cap Test 20mm - سدة اختبار  بلاستيك سن خارجي
821,PPR2-057,مواد سباكة T.D.C.O2,unit,محبس كامل يد كروم 20مم/محبس
822,PPR2-058,مواد سباكة T.D.C.O2,unit,محبس كامل يد كروم 25مم*3/4/محبس
823,PPR2-059,مواد سباكة T.D.C.O2,unit,محبس  يد سكين سوده 25 مم PPR
824,PPR2-060,مواد سباكة T.D.C.O2,unit,محبس  يد سكين سوده 32مم PPR
825,PPR2-061,مواد سباكة T.D.C.O2,unit,محبس  يد سكين سوده 40 مم PPR
826,PPR2-062,مواد سباكة T.D.C.O2,unit,ديكور وقلب محبس 25مم*3/4/ جزء علوي
827,PPR2-063,مواد سباكة T.D.C.O2,unit,PPR Tep Teflon  - تيب تيفلون كبير
828,PPR2-064,مواد سباكة T.D.C.O2,unit,ساعة ضغط 60 بار 20 ملي
829,PPR2-065,مواد سباكة T.D.C.O2,unit,مقص حراري- صغير/حبة Pipe Cutter small 20-40
830,PPR2-066,مواد سباكة T.D.C.O2,unit,مقص حراري- كبير 63مم/حبة Pip Cutter Big upto 63
831,PPR2-067,مواد سباكة T.D.C.O2,unit,محبس-بودي- بدون قلب وديكور 20مم*3/4
832,PPR2-068,مواد سباكة T.D.C.O2,unit,محبس-بودي- بدون قلب وديكور 25مم*3/4
833,PPR2-069,مواد سباكة T.D.C.O2,unit,ديكور وقلب محبس 20مم*1/2/ جزء علوي
834,PPR2-070,مواد سباكة T.D.C.O2,unit,جلبة حراري طرف سن داخلي  25مم*1/2/جلبة
835,PPR2-071,مواد سباكة T.D.C.O2,unit,شد وصل 32 مم حراري - صيني - لتركيب المضخات
836,PPR2-072,مواد سباكة T.D.C.O2,unit,جلبة حراري 25 مم*1/2 سن خارجي PPR
837,PPR2-073,مواد سباكة T.D.C.O2,unit,كوع زاية 90 - 32 ملي سن داخلي 1انش/ PPR
838,PPR2-074,مواد سباكة T.D.C.O2,unit,شد وصل حراري سن خارجي 32 مم*1 بوصة PPR
839,PPR2-075,مواد سباكة T.D.C.O2,unit,جلبة سن خارجي 32 مللي - حراري PPR
840,PPR2-076,مواد سباكة T.D.C.O2,unit,شد وصل حراري 25 مم / حبة
841,PPR2-077,مواد سباكة T.D.C.O2,unit,شد وصل حراري سن داخلي 32 مم*1 بوصة PPR
842,PPR2-078,مواد سباكة T.D.C.O2,unit,ديكور  محبس 25مم*3/4/ جزء علوي
843,PPR2-079,مواد سباكة T.D.C.O2,unit,شد وصل حراري من الجهتين 32 مم
844,PPR2-080,مواد سباكة T.D.C.O2,unit,قلب - محبس
845,PPR2-081,مواد سباكة T.D.C.O2,unit,قسام تي 50 مم حراري / تحويل
846,PPR2-082,مواد سباكة T.D.C.O2,unit,ميزان خلاط 25مم*1/2/ميزان
847,PPR2-083,مواد سباكة T.D.C.O2,unit,كوع جمل 32مم/كوع
848,PPR2-084,مواد سباكة T.D.C.O2,unit,ماسورة 63مم/ ماسورة
849,PPR2-085,مواد سباكة T.D.C.O2,unit,قسام تي سن داخلي 25مم*1/2/قسام
850,PPR2-086,مواد سباكة T.D.C.O2,unit,كوع زاية 90 - 25 ملي سن داخلي 1/2انش/ PPR
851,PPR2-087,مواد سباكة T.D.C.O2,unit,محبس كامل يد دوارة 25مم*3/4/محبس
852,PPR2-088,مواد سباكة T.D.C.O2,unit,محبس كامل يد دوارة 32مم*1/محبس
853,PPR2-089,مواد سباكة T.D.C.O2,unit,محبس كامل يد دوارة 40مم/محبس
854,PPR2-090,مواد سباكة T.D.C.O2,unit,محبس كامل يد دوارة 50مم/محبس
855,PPR2-091,مواد سباكة T.D.C.O2,unit,محبس كامل يد دوارة 63مم/محبس
856,PPR2-092,مواد سباكة T.D.C.O2,unit,محبس كامل خارجي يد سكين 25مم/محبس
857,PPR2-093,مواد سباكة T.D.C.O2,unit,شد وصل سن داخلي 32مم*1بوصة/حبة
858,PPR2-094,مواد سباكة T.D.C.O2,unit,ديكور  محبس 20*3/4مم/ جزء علوي
859,PPR2-095,مواد سباكة T.D.C.O2,unit,كوع جمل 20مم/كوع-صغير
860,PPR2-096,مواد سباكة T.D.C.O2,unit,محبس كامل خارجي يد سكين 40مم/محبس
861,PPR2-097,مواد سباكة T.D.C.O2,unit,قسام تي سن داخلي 20مم*1/2/قسام
862,PPR2-098,مواد سباكة T.D.C.O2,unit,كوع زاية 90 - 25 ملي سن داخلي 3/4 انش/ PPR
863,PPR2-099,مواد سباكة T.D.C.O2,unit,قلب محبس
864,PPR2-100,مواد سباكة T.D.C.O2,unit,PPR Tep Teflon  - تيب تيفلون صغير
865,PPR2-101,مواد سباكة T.D.C.O2,unit,قفيز حديد  2 بوصة - 1طرف 2 مسمار /قفيز
866,PPR2-102,مواد سباكة T.D.C.O2,unit,قفيز حديد  1 بوصة - طرف واحد 2 مسمار/قفيز
867,PPR2-103,مواد سباكة T.D.C.O2,unit,ماسورة 25مم قبلان
868,PPR2-104,مواد سباكة T.D.C.O2,unit,كوع جمل 25مم قبلان
869,PPR2-105,مواد سباكة T.D.C.O2,unit,PPR Tee 30mm - قسام تي 30 ملي
870,PPR2-106,مواد سباكة T.D.C.O2,unit,جلبة 50حراري
